OBJECTID,Latitude,Longitude,StopID,Stop_name,Direction,WkdyService,SatService,SunService,Mode,Routes_ser,Community_Name,Community_Type,Full_Label
565,40.457396,-79.925279,E29210,HIGHLAND AVE AT ALDER ST,Inbound,Yes,Yes,Yes,Bus,71B,SHADYSIDE,HOOD,Shadeyside Neighborhood
566,40.406169,-79.866332,E15500,COREY AVE AT CENTER ST,Outbound,Yes,Yes,Yes,Bus,59,BRADDOCK,BOROUGH,Braddock Borough
567,40.474394,-79.918757,E29220,HIGHLAND AVE OPP BRYANT CT,Outbound,Yes,Yes,Yes,Bus,71B,HIGHLAND PARK,HOOD,Highland Park Neighborhood
568,40.404747,-79.867738,E15510,COREY AVE AT MARGARETTA ST,Inbound,Yes,Yes,Yes,Bus,59,BRADDOCK,BOROUGH,Braddock Borough
569,40.467972,-79.921761,E29240,HIGHLAND AVE OPP HAYS ST,Outbound,Yes,Yes,Yes,Bus,"71B, 75",EAST LIBERTY,HOOD,East Liberty Neighborhood
570,40.405146,-79.86741,E15520,COREY AVE AT MILLS AVE,Outbound,Yes,Yes,Yes,Bus,59,BRADDOCK,BOROUGH,Braddock Borough
571,40.437582,-79.963825,E15580,CRAFT AVE AT FIFTH AVE FS (DIALYSIS CTR),Inbound,Yes,No,No,Bus,"58, 93",SOUTH OAKLAND,HOOD,South Oakland Neighborhood
572,40.436972,-79.962841,E15585,CRAFT AVE AT FORBES AVE,Outbound,Yes,Yes,Yes,Bus,93,SOUTH OAKLAND,HOOD,South Oakland Neighborhood
573,40.447063,-79.949159,E15620,CRAIG ST AT FIFTH AVE,Both,Yes,Yes,Yes,Bus,"54, 71A, 71C, 93",NORTH OAKLAND,HOOD,North Oakland Neighborhood
574,40.454302,-79.953506,E15640,CRAIG ST AT BAUM BLVD FS,Inbound,Yes,Yes,Yes,Bus,77,NORTH OAKLAND,HOOD,North Oakland Neighborhood
575,40.449852,-79.950985,E15650,CRAIG ST AT BAYARD ST,Both,Yes,Yes,Yes,Bus,"54, 71A, 71C, 93",NORTH OAKLAND,HOOD,North Oakland Neighborhood
576,40.449579,-79.950528,E15660,CRAIG ST AT BAYARD ST,Both,Yes,Yes,Yes,Bus,"54, 71A, 71C, 93",NORTH OAKLAND,HOOD,North Oakland Neighborhood
577,40.456471,-79.954757,E15665,CRAIG ST OPP BIGELOW BLVD,Both,Yes,Yes,Yes,Bus,"77, 93",NORTH OAKLAND,HOOD,North Oakland Neighborhood
578,40.456493,-79.955012,E15670,CRAIG ST AT BIGELOW BLVD FS,Both,Yes,Yes,Yes,Bus,"77, 93",NORTH OAKLAND,HOOD,North Oakland Neighborhood
579,40.451805,-79.951963,E15680,CRAIG ST AT CENTRE AVE,Both,Yes,Yes,Yes,Bus,"54, 71A, 71C, 93",NORTH OAKLAND,HOOD,North Oakland Neighborhood
580,40.447427,-79.949133,E15730,CRAIG ST AT PARK PLAZA,Both,Yes,Yes,Yes,Bus,"54, 71A, 71C, 93",NORTH OAKLAND,HOOD,North Oakland Neighborhood
581,40.443176,-79.987479,E15840,CRAWFORD ST AT WEBSTER AVE,Outbound,Yes,Yes,Yes,Bus,81,CRAWFORD-ROBERTS,HOOD,Crawford-Roberts Neighborhood
582,40.460895,-79.916038,E15925,EAST LIBERTY BLVD AT BROAD ST,Inbound,Yes,Yes,Yes,Bus,"74, 75, 89",EAST LIBERTY,HOOD,East Liberty Neighborhood
583,40.458158,-79.916578,E15950,EAST LIBERTY BLVD AT DAHLEM PL,Outbound,Yes,Yes,Yes,Bus,"74, 75, 77, 82, 86, 89",LARIMER,HOOD,Larimer Neighborhood
584,40.460632,-79.915612,E15960,EAST LIBERTY BLVD AT FRANKSTOWN AVE,Outbound,Yes,Yes,Yes,Bus,"74, 75, 77, 82, 86, 89, P17",LARIMER,HOOD,Larimer Neighborhood
585,40.459705,-79.915761,E15970,EAST LIBERTY BLVD AT HAMILTON AVE,Outbound,Yes,Yes,Yes,Bus,"74, 75, 77, 82, 86, 89",LARIMER,HOOD,Larimer Neighborhood
586,40.457668,-79.917331,E15980,EAST LIBERTY BLVD AT PENN AVE,Inbound,Yes,Yes,Yes,Bus,"74, 75, 77, 82, 86, 89",EAST LIBERTY,HOOD,East Liberty Neighborhood
587,40.459931,-79.91585,E16010,EAST LIBERTY BLVD OPP HAMILTON AVE,Inbound,Yes,Yes,Yes,Bus,"74, 75, 77, 82, 86, 89",EAST LIBERTY,HOOD,East Liberty Neighborhood
588,40.455862,-79.910589,E16015,FIFTH AVE RAMP AT FIFTH AVE FS,Both,Yes,Yes,Yes,Bus,"28X, 88, P10, P17",LARIMER,HOOD,Larimer Neighborhood
589,40.447924,-79.910825,E16020,DALLAS AVE OPP EDGERTON AVE,Both,Yes,Yes,Yes,Bus,"67, 69, 74",POINT BREEZE,HOOD,Point Breese Neighborhood
590,40.447667,-79.910785,E16030,DALLAS AVE AT EDGERTON AVE,Both,Yes,Yes,Yes,Bus,"67, 69, 74",POINT BREEZE,HOOD,Point Breese Neighborhood
591,40.451198,-79.908441,E16070,DALLAS AVE AT PENHAM PL,Inbound,Yes,Yes,Yes,Bus,"67, 69",POINT BREEZE,HOOD,Point Breese Neighborhood
592,40.451364,-79.908157,E16080,DALLAS AVE AT PENN AVE,Outbound,Yes,Yes,Yes,Bus,"67, 69",POINT BREEZE,HOOD,Point Breese Neighborhood
593,40.448971,-79.910184,E16100,DALLAS AVE AT REYNOLDS ST,Inbound,Yes,Yes,Yes,Bus,"67, 69",POINT BREEZE,HOOD,Point Breese Neighborhood
594,40.448598,-79.9101,E16110,DALLAS AVE AT REYNOLDS ST,Both,Yes,No,No,Bus,"67, 69, 74",POINT BREEZE,HOOD,Point Breese Neighborhood
595,40.436125,-79.913821,E16160,DARLINGTON RD AT BEACON ST,Both,Yes,Yes,Yes,Bus,65,SQUIRREL HILL SOUTH,HOOD,Squirrel Hill South Neighborhood
596,40.441139,-79.961439,E16190,DARRAGH ST OPP VICTORIA ST,Outbound,Yes,Yes,Yes,Bus,"81, 83",WEST OAKLAND,HOOD,West Oakland Neighborhood
597,40.469176,-79.905556,E16270,DEAN ST AT LARIMER AVE,Inbound,Yes,Yes,No,Bus,74,LINCOLN-LEMINGTON-BELMAR,HOOD,Lincoln-Lemington-Belmar Neighborhood
598,40.467996,-79.903793,E16300,DEAN ST AT PAULSON AVE,Outbound,Yes,Yes,Yes,Bus,74,LINCOLN-LEMINGTON-BELMAR,HOOD,Lincoln-Lemington-Belmar Neighborhood
599,40.443146,-79.959718,E16470,DESOTO ST AT O'HARA ST,Inbound,Yes,Yes,Yes,Bus,"81, 83",WEST OAKLAND,HOOD,West Oakland Neighborhood
600,40.445597,-79.981726,E16500,DEVILLIERS ST AT WEBSTER AVE,Outbound,Yes,Yes,Yes,Bus,83,MIDDLE HILL,HOOD,Middle Hill Neighborhood
601,40.444162,-79.980672,E16530,DEVILLIERS ST AT WYLIE AVE,Outbound,Yes,Yes,Yes,Bus,83,MIDDLE HILL,HOOD,Middle Hill Neighborhood
602,40.444259,-79.980927,E16540,DEVILLIERS ST AT WYLIE AVE,Inbound,Yes,Yes,Yes,Bus,83,CRAWFORD-ROBERTS,HOOD,Crawford-Roberts Neighborhood
603,40.456889,-79.967099,E16560,DOBSON ST AT BRERETON ST FS,Outbound,Yes,Yes,Yes,Bus,54,POLISH HILL,HOOD,Polish Hill Neighborhood
604,40.457424,-79.965903,E16580,DOBSON ST AT HANCOCK ST,Outbound,Yes,Yes,Yes,Bus,54,POLISH HILL,HOOD,Polish Hill Neighborhood
605,40.457837,-79.964979,E16600,DOBSON ST AT HARDING WAY,Outbound,Yes,Yes,Yes,Bus,54,POLISH HILL,HOOD,Polish Hill Neighborhood
606,40.458138,-79.964264,E16620,DOBSON ST AT HERRON AVE,Outbound,Yes,Yes,Yes,Bus,54,POLISH HILL,HOOD,Polish Hill Neighborhood
607,40.400678,-79.835511,E17230,DYNAMO WAY AT BEECH ST,Inbound,Yes,Yes,Yes,Bus,"59, 68, P68",EAST PITTSBURGH,BOROUGH,East Pittsburgh Borough
608,40.437518,-79.885844,E17257,EAST BUSWAY AT HAMNETT STATION C,Inbound,Yes,Yes,Yes,Busway,"P1, P3",WILKINSBURG,BOROUGH,Wilkinsburg Borough
609,40.437444,-79.885869,E17288,EAST BUSWAY AT HAMNETT STATION A,Outbound,Yes,Yes,Yes,Busway,"P1, P3",WILKINSBURG,BOROUGH,Wilkinsburg Borough
610,40.443271,-79.886907,E17289,EAST BUSWAY AT HAY ST RAMP INBOUND SHELTER,Both,Yes,Yes,Yes,Busway,"68, 71C, 71D, 79, 86, P12, P2, P68, P69, P7, P76",WILKINSBURG,BOROUGH,Wilkinsburg Borough
611,40.442796,-79.887008,E17290,EAST BUSWAY AT HAY ST RAMP OUTBOUND SHELTER,Both,Yes,Yes,Yes,Busway,"68, 69, 71, 71C, 71D, 79, 86, P12, P16, P2, P67, P68, P69, P7, P71, P76, P78",WILKINSBURG,BOROUGH,Wilkinsburg Borough
612,40.419173,-79.886408,E17291,EAST BUSWAY AT ROSLYN STATION C,Inbound,Yes,Yes,Yes,Busway,"P1, P3",SWISSVALE,BOROUGH,Swissvale Borough
613,40.418917,-79.886273,E17292,EAST BUSWAY AT ROSLYN STATION A,Outbound,Yes,Yes,Yes,Busway,"P1, P3",SWISSVALE,BOROUGH,Swissvale Borough
614,40.415244,-79.878731,E17293,EAST BUSWAY AT SWISSVALE STATION A,Both,Yes,No,No,Busway,"59, P1, P3, P71",SWISSVALE,BOROUGH,Swissvale Borough
615,40.459453,-79.922851,E17294,EAST BUSWAY AT EAST LIBERTY STATION D,Inbound,Yes,Yes,Yes,Busway,"P10, P12, P16, P67, P69, P7, P76, P78",SHADYSIDE,HOOD,Shadeyside Neighborhood
616,40.446386,-79.888546,E17295,EAST BUSWAY AT WILKINSBURG STATION B,Both,Yes,No,No,Busway,"68, 69, 71, 71C, 71D, 79, 86, P12, P16, P67, P68, P69, P7, P71, P76, P78",WILKINSBURG,BOROUGH,Wilkinsburg Borough
617,40.452909,-79.899058,E17296,EAST BUSWAY AT HOMEWOOD STATION D,Inbound,Yes,Yes,Yes,Busway,"P12, P16, P67, P69, P7, P76, P78",HOMEWOOD SOUTH,HOOD,Homewood South Neighborhood
618,40.446426,-79.888392,E17297,EAST BUSWAY AT WILKINSBURG STATION C,Inbound,Yes,Yes,Yes,Busway,"P1, P2, P3",WILKINSBURG,BOROUGH,Wilkinsburg Borough
619,40.446128,-79.888401,E17298,EAST BUSWAY AT WILKINSBURG STATION A,Outbound,Yes,Yes,Yes,Busway,"P1, P2, P3",WILKINSBURG,BOROUGH,Wilkinsburg Borough
620,40.452978,-79.899254,E17299,EAST BUSWAY AT HOMEWOOD STATION C,Inbound,Yes,No,No,Busway,"P1, P2, P3, P68, P71",HOMEWOOD SOUTH,HOOD,Homewood South Neighborhood
621,40.459205,-79.966599,E17300,EAST BUSWAY AT HERRON STATION B,Outbound,Yes,Yes,Yes,Busway,"P10, P12, P16, P17, P67, P68, P69, P7, P71, P76, P78",POLISH HILL,HOOD,Polish Hill Neighborhood
622,40.452813,-79.898947,E17301,EAST BUSWAY AT HOMEWOOD STATION A,Outbound,Yes,Yes,Yes,Busway,"P1, P2, P3",HOMEWOOD SOUTH,HOOD,Homewood South Neighborhood
623,40.459374,-79.923171,E17302,EAST BUSWAY AT EAST LIBERTY STATION C,Inbound,Yes,Yes,Yes,Busway,"P1, P17, P2, P3, P68, P71",SHADYSIDE,HOOD,Shadeyside Neighborhood
624,40.459399,-79.92286,E17303,EAST BUSWAY AT EAST LIBERTY STATION A,Outbound,Yes,Yes,Yes,Busway,"P1, P2, P3",SHADYSIDE,HOOD,Shadeyside Neighborhood
625,40.456634,-79.932696,E17304,EAST BUSWAY AT NEGLEY STATION C,Inbound,Yes,Yes,Yes,Busway,"P1, P17, P2, P3, P68, P71",SHADYSIDE,HOOD,Shadeyside Neighborhood
626,40.456656,-79.93241,E17305,EAST BUSWAY AT NEGLEY STATION A,Outbound,Yes,Yes,Yes,Busway,"P1, P2, P3",SHADYSIDE,HOOD,Shadeyside Neighborhood
627,40.459333,-79.966598,E17306,EAST BUSWAY AT HERRON STATION C,Inbound,Yes,Yes,Yes,Busway,"P1, P17, P2, P68, P71",POLISH HILL,HOOD,Polish Hill Neighborhood
628,40.459324,-79.966245,E17307,EAST BUSWAY AT HERRON STATION A,Outbound,Yes,No,No,Busway,"P1, P2",POLISH HILL,HOOD,Polish Hill Neighborhood
629,40.456658,-79.932507,E17308,EAST BUSWAY AT NEGLEY STATION B,Outbound,Yes,No,No,Busway,"P10, P12, P16, P17, P67, P68, P69, P7, P71, P76, P78",SHADYSIDE,HOOD,Shadeyside Neighborhood
630,40.4568,-79.932492,E17309,EAST BUSWAY AT NEGLEY STATION D,Inbound,Yes,No,No,Busway,"P10, P12, P16, P67, P69, P7, P76, P78",SHADYSIDE,HOOD,Shadeyside Neighborhood
631,40.459319,-79.923127,E17310,EAST BUSWAY AT EAST LIBERTY STATION B,Outbound,Yes,No,No,Busway,"P10, P12, P16, P17, P67, P68, P69, P7, P71, P76, P78",SHADYSIDE,HOOD,Shadeyside Neighborhood
632,40.452942,-79.899247,E17311,EAST BUSWAY AT HOMEWOOD STATION B,Outbound,Yes,Yes,Yes,Busway,"P12, P16, P67, P68, P69, P7, P71, P76, P78",HOMEWOOD SOUTH,HOOD,Homewood South Neighborhood
633,40.457675,-79.911891,E17312,EAST BUSWAY AT GARAGE EMPLOYEES ONLY STOP,Inbound,Yes,Yes,Yes,Busway,"P1, P10, P12, P16, P17, P2, P3, P67, P68, P69, P7, P71, P76, P78",LARIMER,HOOD,Larimer Neighborhood
634,40.457519,-79.911937,E17313,EAST BUSWAY AT GARAGE EMPLOYEES ONLY STOP,Outbound,Yes,No,No,Busway,"P1, P10, P12, P16, P17, P2, P3, P67, P68, P69, P7, P71, P76, P78",LARIMER,HOOD,Larimer Neighborhood
635,40.459405,-79.966303,E17314,EAST BUSWAY AT HERRON STATION D,Inbound,Yes,Yes,Yes,Busway,"P10, P12, P16, P67, P69, P7, P76, P78",POLISH HILL,HOOD,Polish Hill Neighborhood
636,40.446257,-79.88829,E17316,EAST BUSWAY AT WILKINSBURG STATION D,Both,Yes,Yes,Yes,Busway,"68, 69, 71, 71C, 71D, 79, 86, P12, P16, P67, P68, P69, P7, P71, P76, P78",WILKINSBURG,BOROUGH,Wilkinsburg Borough
637,40.452679,-79.87371,E17320,EAST HILLS DR AT PARK HILL DR,Inbound,Yes,Yes,Yes,Bus,79,EAST HILLS,HOOD,East Hills Neighborhood
638,40.453823,-79.873045,E17325,EAST HILLS DR AT SCHOOL DRVWY,Outbound,Yes,Yes,Yes,Bus,79,EAST HILLS,HOOD,East Hills Neighborhood
639,40.454957,-79.871158,E17330,EAST HILLS DR AT WILNER DR,Outbound,Yes,Yes,Yes,Bus,79,EAST HILLS,HOOD,East Hills Neighborhood
640,40.45456,-79.871901,E17340,EAST HILLS DR AT #2220,Outbound,Yes,Yes,Yes,Bus,79,EAST HILLS,HOOD,East Hills Neighborhood
641,40.454659,-79.872041,E17350,EAST HILLS DR OPP #2220,Inbound,Yes,Yes,Yes,Bus,79,EAST HILLS,HOOD,East Hills Neighborhood
642,40.454028,-79.873043,E17355,EAST HILLS DR OPP SCHOOL DRVWY,Inbound,Yes,Yes,Yes,Bus,79,EAST HILLS,HOOD,East Hills Neighborhood
643,40.466561,-79.925664,E17367,EAST LIBERTY BLVD AT EUCLID AVE,Inbound,Yes,Yes,Yes,Bus,89,EAST LIBERTY,HOOD,East Liberty Neighborhood
644,40.466781,-79.925072,E17368,EAST LIBERTY BLVD AT EUCLID AVE,Outbound,Yes,Yes,Yes,Bus,89,EAST LIBERTY,HOOD,East Liberty Neighborhood
645,40.465707,-79.92238,E17373,EAST LIBERTY BLVD AT HIGHLAND AVE FS,Inbound,Yes,Yes,Yes,Bus,"75, 89",EAST LIBERTY,HOOD,East Liberty Neighborhood
646,40.463374,-79.917726,E17380,EAST LIBERTY BLVD AT LARIMER AVE,Inbound,Yes,Yes,Yes,Bus,"75, 89",EAST LIBERTY,HOOD,East Liberty Neighborhood
647,40.467382,-79.927967,E17393,EAST LIBERTY BLVD AT NEGLEY AVE FS,Inbound,Yes,Yes,Yes,Bus,89,EAST LIBERTY,HOOD,East Liberty Neighborhood
648,40.467792,-79.927837,E17395,EAST LIBERTY BLVD AT NEGLEY AVE,Outbound,Yes,Yes,Yes,Bus,89,EAST LIBERTY,HOOD,East Liberty Neighborhood
649,40.465002,-79.92019,E17405,EAST LIBERTY BLVD AT CENTRE AVE,Inbound,Yes,Yes,Yes,Bus,"75, 89",EAST LIBERTY,HOOD,East Liberty Neighborhood
650,40.442753,-79.968203,E17422,ECKSTEIN PL AT WADSWORTH ST,Outbound,Yes,Yes,Yes,Bus,81,TERRACE VILLAGE,HOOD,Terrace Village Neighborhood
651,40.442661,-79.968494,E17424,ECKSTEIN PL AT WADSWORTH ST FS,Inbound,Yes,Yes,Yes,Bus,81,TERRACE VILLAGE,HOOD,Terrace Village Neighborhood
652,40.431543,-79.884402,E17440,EDGEWOOD AVE AT ELM ST FS,Inbound,Yes,Yes,Yes,Bus,"61A, P7",EDGEWOOD,BOROUGH,Edgewood Borough
653,40.424364,-79.885952,E17460,EDGEWOOD AVE AT COLUMBIA AVE,Inbound,Yes,Yes,Yes,Bus,"61A, P7",SWISSVALE,BOROUGH,Swissvale Borough
654,40.425295,-79.885623,E17480,EDGEWOOD AVE AT DELAWARE AVE,Inbound,Yes,Yes,Yes,Bus,"61A, P7",SWISSVALE,BOROUGH,Swissvale Borough
655,40.430193,-79.884301,E17510,EDGEWOOD AVE AT EDGEWOOD CT,Inbound,Yes,Yes,Yes,Bus,"61A, P7",EDGEWOOD,BOROUGH,Edgewood Borough
656,40.428637,-79.884554,E17540,EDGEWOOD AVE AT GORDON ST,Inbound,Yes,Yes,Yes,Bus,"61A, P7",EDGEWOOD,BOROUGH,Edgewood Borough
657,40.426708,-79.88514,E17560,EDGEWOOD AVE AT LACROSSE ST,Inbound,Yes,Yes,Yes,Bus,"61A, P7",SWISSVALE,BOROUGH,Swissvale Borough
658,40.427711,-79.884855,E17580,EDGEWOOD AVE AT LLOYD AVE,Inbound,Yes,Yes,Yes,Bus,"61A, P7",EDGEWOOD,BOROUGH,Edgewood Borough
659,40.43287,-79.884664,E17590,EDGEWOOD AVE AT MAPLE AVE,Inbound,Yes,Yes,Yes,Bus,"61A, P7",EDGEWOOD,BOROUGH,Edgewood Borough
660,40.431491,-79.884603,E17610,EDGEWOOD AVE OPP ELM ST,Outbound,Yes,Yes,Yes,Bus,"61A, P7",EDGEWOOD,BOROUGH,Edgewood Borough
661,40.424628,-79.88604,E17620,EDGEWOOD AVE OPP COLUMBIA AVE,Outbound,Yes,Yes,Yes,Bus,"61A, P7",EDGEWOOD,BOROUGH,Edgewood Borough
662,40.425534,-79.885768,E17640,EDGEWOOD AVE OPP DELAWARE AVE,Outbound,Yes,Yes,Yes,Bus,"61A, P7",EDGEWOOD,BOROUGH,Edgewood Borough
663,40.428893,-79.884784,E17680,EDGEWOOD AVE OPP GORDON ST,Outbound,Yes,Yes,Yes,Bus,"61A, P7",EDGEWOOD,BOROUGH,Edgewood Borough
664,40.426968,-79.885268,E17700,EDGEWOOD AVE OPP LACROSSE AVE,Outbound,Yes,No,No,Bus,"61A, P7",EDGEWOOD,BOROUGH,Edgewood Borough
665,40.422974,-79.886334,E17720,EDGEWOOD AVE AT SAILOR PL FS,Inbound,Yes,No,No,Bus,"61A, P7",SWISSVALE,BOROUGH,Swissvale Borough
666,40.424801,-79.887444,E17750,EDGEWOOD TOWNE CENTRE AT TOWNE CENTRE OFFICES,Inbound,Yes,No,No,Bus,"71, P71",SWISSVALE,BOROUGH,Swissvale Borough
667,40.427368,-79.886414,E17760,EDGEWOOD TOWNE CENTRE AT DOLLAR TREE,Both,Yes,No,No,Bus,"71, P71",EDGEWOOD,BOROUGH,Edgewood Borough
668,40.425831,-79.886734,E17770,EDGEWOOD TOWNE CENTRE AT GIANT EAGLE FS,Both,Yes,No,No,Bus,"71, P71",EDGEWOOD,BOROUGH,Edgewood Borough
