,index,dist_origin,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
28,29,Armstrong County East,0,0.0,0.0,0.0,3595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,856.0,931.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,90624.0,12422.0,0.0,0.0,1689.0,0.0,0.0,10347.0,0.0,0.0,14921.0,0.0,0.0,8.0,0.0,0.0
29,30,Armstrong County West,0,0.0,0.0,0.0,4962.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,22.0,0.0,184.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,7935.0,39232.0,0.0,0.0,8500.0,0.0,0.0,40.0,0.0,0.0,763.0,0.0,9.0,96.0,0.0,0.0
30,31,Beaver County South,51,18.0,24.0,5205.0,1058.0,0.0,1.0,0.0,4.0,0.0,0.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49830.0,0.0,0.0,84452.0,17890.0,1446.0,0.0,0.0,0.0,70.0,3555.0,0.0,1.0,0.0,0.0,109.0,237.0
31,32,Beaver County North,229,214.0,160.0,12797.0,14324.0,0.0,2.0,6.0,5.0,1.0,0.0,685.0,0.0,51.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22673.0,0.0,0.0,38895.0,252269.0,26866.0,0.0,0.0,0.0,8817.0,214.0,0.0,42.0,0.0,0.0,124.0,102.0
32,33,Butler County,200,328.0,328.0,2080.0,55826.0,0.0,6.0,6.0,6.0,16.0,0.0,648.0,71.0,77.0,229.0,0.0,468.0,72.0,73.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2255.0,515.0,2498.0,636.0,6132.0,641371.0,0.0,0.0,0.0,3671.0,0.0,1129.0,46.0,37.0,242.0,46.0,14.0
33,34,Fayette County,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,108.0,47.0,299.0,10.0,133.0,283.0,23.0,0.0,0.0,0.0,0.0,0.0,323132.0,2113.0,0.0,0.0,9181.0,32286.0,0.0,0.0,0.0,0.0,24.0
34,35,Greene County,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,4088.0,103139.0,0.0,0.0,3501.0,25.0,0.0,0.0,0.0,0.0,0.0
35,36,Indiana County,0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,88.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,896.0,50.0,0.0,0.0,2.0,0.0,0.0,270360.0,0.0,0.0,6405.0,0.0,0.0,0.0,0.0,0.0
36,37,Lawrence County,0,0.0,0.0,3.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,604.0,15588.0,9058.0,0.0,0.0,0.0,247201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,38,Washington County,146,145.0,44.0,178.0,65.0,185.0,66.0,103.0,178.0,15.0,326.0,1192.0,9.0,52.0,61.0,94.0,96.0,5.0,419.0,365.0,281.0,873.0,497.0,2105.0,723.0,5325.0,9239.0,33124.0,0.0,0.0,196.0,28.0,0.0,9615.0,2346.0,0.0,0.0,631732.0,13837.0,98.0,2.0,27.0,1736.0,25844.0
38,39,Westmoreland County,32,78.0,58.0,5.0,40665.0,475.0,1308.0,1467.0,280.0,644.0,1279.0,1245.0,1069.0,98.0,1311.0,128.0,10250.0,11265.0,44631.0,8826.0,9810.0,9017.0,954.0,3295.0,2118.0,2397.0,2207.0,726.0,5691.0,638.0,0.0,0.0,2218.0,8554.0,4.0,8039.0,0.0,13290.0,1045582.0,251.0,182.0,2448.0,121.0,216.0
39,40,Midtown/Uptown,423,699.0,307.0,163.0,1250.0,447.0,389.0,3710.0,1281.0,305.0,194.0,5858.0,194.0,583.0,1017.0,22.0,94.0,12.0,109.0,288.0,22.0,22.0,9.0,5.0,58.0,281.0,20.0,999.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,30.0,26.0,2261.0,43.0,179.0,1311.0,1036.0
40,41,Highland Park,263,507.0,256.0,70.0,4825.0,268.0,980.0,4183.0,357.0,1384.0,246.0,2614.0,2700.0,544.0,3818.0,9.0,584.0,29.0,276.0,878.0,49.0,12.0,1.0,2.0,70.0,73.0,4.0,342.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,37.0,499.0,1529.0,1667.0,465.0,399.0
41,42,Homewood/Lincoln-Lemington,377,664.0,338.0,117.0,7302.0,831.0,3181.0,8933.0,1008.0,2760.0,825.0,3711.0,3876.0,674.0,4304.0,18.0,3343.0,156.0,1574.0,5893.0,302.0,129.0,9.0,6.0,333.0,247.0,18.0,571.0,1.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0,225.0,861.0,638.0,8750.0,809.0,612.0
42,43,Pittsburgh Southwest (remainder),6084,6133.0,2329.0,2496.0,7366.0,2429.0,1555.0,14777.0,11540.0,1012.0,2316.0,38673.0,790.0,3158.0,4225.0,339.0,342.0,33.0,327.0,1507.0,102.0,205.0,69.0,26.0,696.0,12811.0,657.0,40018.0,0.0,0.0,25.0,14.0,21.0,0.0,0.0,0.0,0.0,996.0,55.0,6370.0,170.0,779.0,50730.0,46178.0
43,44,Allegheny County Southcentral,3580,3932.0,1410.0,1239.0,3959.0,1434.0,900.0,7974.0,4386.0,555.0,1331.0,26331.0,436.0,1848.0,2404.0,232.0,187.0,19.0,249.0,828.0,105.0,271.0,108.0,84.0,636.0,19146.0,6291.0,68964.0,0.0,0.0,43.0,20.0,14.0,5.0,0.0,0.0,0.0,23204.0,60.0,3227.0,102.0,406.0,25371.0,252266.0
