District,District Name,StopID,StopName,Routes Impacted
13,East Liberty,E29070,HIGHLAND AVE AT RIPPEY ST,71B
20,Wilkinsburg Wilkins Braddock and vicinity,E14430,COAL ST OPP HUTCHINSON AVE,61A
13,East Liberty,E29077,HIGHLAND AVE OPP BAUM BLVD,71B
20,Wilkinsburg Wilkins Braddock and vicinity,E14440,COAL ST AT REBECCA AVE,61A
10,Shadyside,E29105,HIGHLAND AVE OPP ELWOOD ST,71B
7,Squirrel Hill,E57490,WILKINS AVE AT BEECHWOOD BLVD,"67, 69, 74"
20,Wilkinsburg Wilkins Braddock and vicinity,E14450,COAL ST AT SOUTH AVE,61A
7,Squirrel Hill,E57500,WILKINS AVE OPP BELLEROCK ST,"67, 69"
20,Wilkinsburg Wilkins Braddock and vicinity,E14480,COAL ST AT WALNUT ST FS,61A
7,Squirrel Hill,E57510,WILKINS AVE AT BELLEROCK ST,"67, 69"
41,Highland Park,E29130,HIGHLAND AVE AT STANTON AVE,71B
20,Wilkinsburg Wilkins Braddock and vicinity,E14510,COAL ST OPP WOODWORTH ST,61A
7,Squirrel Hill,E57540,WILKINS AVE AT FAIR OAKS ST,"67, 69"
13,East Liberty,E29140,HIGHLAND AVE AT STANTON AVE,"71B, 75"
15,Pittsburgh East (remainder),E15030,COLUMBO ST AT ATLANTIC AVE,89
7,Squirrel Hill,E57560,WILKINS AVE OPP MURRAY AVE,"67, 69"
13,East Liberty,E29150,HIGHLAND AVE AT VINTAGE SENIOR CITIZEN CTR,71B
15,Pittsburgh East (remainder),E15050,COLUMBO ST AT PACIFIC AVE,89
7,Squirrel Hill,E57570,WILKINS AVE AT MURRAY AVE,"67, 69"
10,Shadyside,E29160,HIGHLAND AVE AT WALNUT ST,71B
15,Pittsburgh East (remainder),E15060,COLUMBO ST AT PACIFIC AVE,89
7,Squirrel Hill,E57580,WILKINS AVE AT NEGLEY AVE,"67, 69"
10,Shadyside,E29170,HIGHLAND AVE AT WALNUT ST,71B
15,Pittsburgh East (remainder),E15070,COLUMBO ST AT #5149,89
7,Squirrel Hill,E57590,WILKINS AVE AT NEGLEY AVE,"67, 69"
41,Highland Park,E29180,HIGHLAND AVE AT WELLESLEY AVE,71B
15,Pittsburgh East (remainder),E15080,COLUMBO ST AT #5134,89
7,Squirrel Hill,E57610,WILKINS AVE AT #6640,"67, 69, 74"
42,Homewood/Lincoln-Lemington,E57620,WILKINS AVE AT #6647,"67, 69, 74"
7,Squirrel Hill,E57640,WILKINS AVE AT SHADY AVE FS,"67, 69, 74"
7,Squirrel Hill,E57650,WILKINS AVE AT SHADY AVE FS,"67, 69, 74"
7,Squirrel Hill,E57660,WILKINS AVE AT WIGHTMAN ST,"67, 69"
7,Squirrel Hill,E57670,WILKINS AVE AT WIGHTMAN ST,"67, 69"
7,Squirrel Hill,E57680,WILKINS AVE AT WOODLAND RD,"67, 69, 74"
7,Squirrel Hill,E57710,WILKINS AVE AT WORTH ST,"67, 69, 74"
7,Squirrel Hill,E57750,WILKINS AVE AT FAIR OAKS ST,"67, 69"
7,Squirrel Hill,E57770,WILKINS AVE OPP WOODLAND RD,"67, 69, 74"
42,Homewood/Lincoln-Lemington,E57790,WILKINS AVE OPP WORTH ST,"67, 69, 74"
42,Homewood/Lincoln-Lemington,E57940,WILNER DR AT BRACEY DR,79
42,Homewood/Lincoln-Lemington,E57950,WILNER DR AT EAST HILLS DR,79
42,Homewood/Lincoln-Lemington,E57960,WILNER DR AT ROBINSON BLVD,79
42,Homewood/Lincoln-Lemington,E57970,WILNER DR AT ROBINSON BLVD FS,79
42,Homewood/Lincoln-Lemington,E57980,WILNER DR AT #2202,79
42,Homewood/Lincoln-Lemington,E57990,WILNER DR AT #2278,79
42,Homewood/Lincoln-Lemington,E58000,WILNER DR OPP BRACEY DR,79
42,Homewood/Lincoln-Lemington,E58010,WILNER DR OPP #2278,79
42,Homewood/Lincoln-Lemington,E58020,WILTSIE ST AT #6903,74
42,Homewood/Lincoln-Lemington,E58030,WILTSIE ST AT WARDSONS ST,74
42,Homewood/Lincoln-Lemington,E58040,WILTSIE ST OPP #6903,74
