,Dist_No,District_Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
20,Wilmerding Wall North Versailles,2,0.019801980198019802,0.032,0.017241379310344827,0.09090909090909091,0.00911854103343465,0.01652892561983471,0.024844720496894408,0.1261455525606469,0.014742014742014743,0.0273972602739726,0.011948529411764705,0.30333333333333334,0.02535211267605634,0.11494252873563218,0.026052104208416832,0.0,0.011612903225806452,0.0,0.008700948403375968,0.012806496954552554,0.00322506334945865,0.002786809103576405,0.0,0.0,0.006008010680907877,0.007049345417925478,0.006430868167202572,0.011363636363636364,0,0,0,0,0,0.0,0,0,0,0.0,0.0030853616729516627,0.08494208494208494,0.01694915254237288,0.028622540250447227,0.02066115702479339,0.006666666666666667
21,McKeesport White Oak,1,0.015873015873015872,0.013513513513513514,0.0,0.0,0.006060606060606061,0.029064486830154404,0.03035413153456998,0.07421625079974409,0.02648171500630517,0.028455284552845527,0.017119838872104734,0.09966024915062288,0.019801980198019802,0.05970149253731343,0.024390243902439025,0.013468013468013467,0.01043338683788122,0.005780346820809248,0.00948528386106849,0.011392949269131557,0.005345729227193492,0.004630872483221476,0.007758268681094325,0.012140575079872205,0.014686248331108143,0.018361303060217177,0.01876172607879925,0.016736401673640166,0,0,0,0,0,0.0,0,0,0,0.013761467889908258,0.0030537459283387623,0.0633245382585752,0.02564102564102564,0.019230769230769232,0.023762376237623763,0.019880715705765408
22,Lincoln Liberty Port Vue,0,0.0,0.02702702702702703,0.0,0.0,0.0,0.011976047904191617,0.010830324909747292,0.02771362586605081,0.008733624454148471,0.012987012987012988,0.005808325266214908,0.045183290707587385,0.014084507042253521,0.023255813953488372,0.014705882352941176,0.007782101167315175,0.007142857142857143,0.0,0.005280528052805281,0.005314437555358724,0.0036258158085569255,0.004723449641932043,0.00046816479400749064,0.004374453193350831,0.006383948928408573,0.007388642600802195,0.00975177304964539,0.009345794392523364,0,0,0,0,0,0.0,0,0,0,0.007462686567164179,0.002758620689655172,0.015873015873015872,0.0,0.008695652173913044,0.008948545861297539,0.007707129094412331
23,Elizabeth Forward South Versailles,0,0.0,0.0,0.0,0,0.0,0.0033444816053511705,0.006097560975609756,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005461496450027307,0.000881057268722467,0.0005797101449275362,0.0005283317923656056,0.0008992805755395684,0.000177210703526493,0.0015174506828528073,0.0044316419233325945,0.004844570044408559,0.0,0,0,0,0,0,0.0,0,0,0,0.0011556240369799693,0.00034370166695308474,0.027777777777777776,0.0,0.009174311926605505,0.004524886877828055,0.006802721088435374
24,Munhall Whitaker Duquesne,11,0.0275,0.03225806451612903,0.018072289156626505,0.0425531914893617,0.021526418786692758,0.03702229299363057,0.06460369163952226,0.15504701082135888,0.018219677251431546,0.05211726384364821,0.027237354085603113,0.3522778529544429,0.05272407732864675,0.10689655172413794,0.051255230125523014,0.013114754098360656,0.019473081328751432,0.019801980198019802,0.017310252996005325,0.022361359570661897,0.012408088235294117,0.016659059790050206,0.008333333333333333,0.01639344262295082,0.00941346850108617,0.011252497633820592,0.012586532410320957,0.01580135440180587,0,0,0,0,0,0.0,0,0,0,0.018404907975460124,0.012110726643598616,0.12322791712104689,0.06521739130434782,0.047435897435897434,0.020262869660460023,0.013948497854077254
25,Baldwin Brentwood Whitehall West Mifflin,21,0.01644479248238058,0.01703800786369594,0.00510204081632653,0.017064846416382253,0.008281573498964804,0.01767418032786885,0.018565400843881856,0.09908303616912889,0.014282757193127717,0.03667953667953668,0.004489795918367347,0.27866595272699457,0.043373493975903614,0.057971014492753624,0.027255029201817,0.0028929604628736743,0.006472491909385114,0.0,0.006261180679785331,0.0072771376591873865,0.0032310177705977385,0.0038230475150191155,0.0030165912518853697,0.006060606060606061,0.004240882103477523,0.004473253912637234,0.003937007874015748,0.009092667827432772,0,0,0,0,0,0.0,0,0,0,0.005817711700064641,0.0033783783783783786,0.08278145695364239,0.0375,0.035326086956521736,0.01604643222942984,0.007200500904410742
26,Allegheny County Southeast (remainder),0,0.0,0.0,0.0,0.0,0.0,0.013234077750206782,0.01567398119122257,0.02033271719038817,0.010356731875719217,0.012658227848101266,0.006734006734006734,0.12629246676514033,0.012658227848101266,0.0,0.007407407407407408,0.006825938566552901,0.007067137809187279,0.0,0.007898894154818325,0.008858267716535433,0.00909090909090909,0.009244992295839754,0.010830324909747292,0.010996563573883162,0.009387351778656126,0.006676962209302325,0.0031914452687860076,0.0007178750897343862,0,0,0,0,0,0.0,0,0,0,0.002615844544095665,0.006557377049180328,0.03504043126684636,0.0,0.023076923076923078,0.006351039260969977,0.0016532341392849763
27,Allegheny County West,83,0.0206621857107294,0.022112211221122113,0.014018691588785047,0.009407772979642195,0.011088864931464654,0.051643192488262914,0.04040404040404041,0.13355356300141577,0.019179541822056473,0.05802047781569966,0.008823529411764706,0.2922472764124652,0.061224489795918366,0.07176581680830972,0.03535353535353535,0.0,0.015037593984962405,0.0,0.013888888888888888,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.007428040854224698,0.0,0.003104286682281885,0,0,0.001085481682496608,0.0016042780748663102,0.0,0,0,0,0,0.0013871549452073796,0.0,0.1069682151589242,0.05084745762711865,0.03861003861003861,0.019066937119675456,0.009430562229697261
28,Armstrong County East,0,0,0,0,0,0.003337969401947149,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0036965925141242938,0.0011270326839478344,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
29,Armstrong County West,0,0,0,0,0,0.0016122531237404273,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0011342155009451795,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0
30,Beaver County South,1,0.0196078431372549,0.0,0.0,0.009606147934678195,0.004725897920604915,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0038531005418422637,0,0,0.003137877137308767,0.008272778088317495,0.0,0,0,0,0.0,0.0008438818565400844,0,0.0,0,0,0.0,0.0
31,Beaver County North,7,0.03056768558951965,0.018691588785046728,0.00625,0.024458857544737048,0.0013264451270594807,0,0.0,0.0,0.0,0.0,0,0.05693430656934306,0,0.0196078431372549,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.010144224407886033,0,0,0.007635942923254917,0.0037658214049288655,0.0,0,0,0,0.0,0.009345794392523364,0,0.0,0,0,0.008064516129032258,0.029411764705882353
32,Butler County,0,0.0,0.0,0.0,0.0009615384615384616,0.0008777272238741805,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0013303769401330377,0.0,0.0,0.0,0.00016307893020221786,0.0014889977875519784,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
33,Fayette County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.547355260388943e-05,0.0,0,0,0.0,0.0,0,0,0,0,0.0
34,Greene County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0
35,Indiana County,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.00014055333629235095,0,0,0.0,0,0,0,0,0
36,Lawrence County,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0001254040234465071,0,0,0,0,0,0,0
37,Washington County,0,0.0,0.0,0.0,0.0,0.0,0.016216216216216217,0.015151515151515152,0.0,0.011235955056179775,0.0,0.012269938650306749,0.07046979865771812,0.0,0.0,0.0,0.010638297872340425,0.010416666666666666,0.0,0.01909307875894988,0.010958904109589041,0.010676156583629894,0.009163802978235968,0.002012072434607646,0.007600950118764846,0.012448132780082987,0.010704225352112675,0.007035393440848576,0.0028378215191402004,0,0,0.0,0.0,0,0.0,0.0,0,0,0.002895215059550569,0.010334610103346102,0.01020408163265306,0.0,0.0,0.0069124423963133645,0.007042253521126761
38,Westmoreland County,0,0.0,0.02564102564102564,0.0,0.0,0.009492192302963236,0.004210526315789474,0.005351681957186544,0.025221540558963872,0.0035714285714285713,0.009316770186335404,0.003127443315089914,0.06746987951807229,0.009354536950420954,0.04081632653061224,0.014492753623188406,0.0,0.0037073170731707315,0.000887705281846427,0.003226456946965114,0.0039655563108996145,0.0032619775739041795,0.0008872130420317178,0.0,0.0,0.0028328611898017,0.00458906967042136,0.0018124150430448573,0.0027548209366391185,0.0,0.0,0,0,0.0004508566275924256,0.0,0.0,0.0,0,0.015425131677953348,0.0025536017261199983,0.01593625498007968,0.01098901098901099,0.008986928104575163,0.008264462809917356,0.018518518518518517
39,Midtown/Uptown,36,0.0851063829787234,0.09298998569384835,0.048859934853420196,0.07975460122699386,0.0552,0.12751677852348994,0.2596401028277635,0.3757412398921833,0.0975800156128025,0.32131147540983607,0.07216494845360824,0.503926254694435,0.28865979381443296,0.2109777015437393,0.14257620452310718,0.0,0.07446808510638298,0.0,0.07339449541284404,0.12152777777777778,0.13636363636363635,0.045454545454545456,0.0,0.0,0.06896551724137931,0.05338078291814947,0.05,0.07507507507507508,0,0,0.0,0.0,0.0,0,0,0,0,0.03333333333333333,0.0,0.09597523219814241,0.32558139534883723,0.20670391061452514,0.07475209763539283,0.07142857142857142
40,Highland Park,7,0.026615969581749048,0.03550295857988166,0.0078125,0.02857142857142857,0.021347150259067357,0.041044776119402986,0.07755102040816327,0.31365049007889073,0.04201680672268908,0.17702312138728324,0.016260162601626018,0.6266258607498087,0.1451851851851852,0.17279411764705882,0.10188580408590885,0.0,0.017123287671232876,0.0,0.014492753623188406,0.023917995444191344,0.02040816326530612,0.0,0.0,0.0,0.014285714285714285,0.0136986301369863,0.0,0.023391812865497075,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.25851703406813625,0.030085022890778287,0.07258548290341932,0.03225806451612903,0.022556390977443608
41,Homewood/Lincoln-Lemington,13,0.034482758620689655,0.0391566265060241,0.014792899408284023,0.03418803418803419,0.01574910983292249,0.04091456077015644,0.07356177302734988,0.22176200604500168,0.03373015873015873,0.09239130434782608,0.019393939393939394,0.4896254378873619,0.0784313725490196,0.16468842729970326,0.09131040892193308,0.0,0.024827998803469937,0.01282051282051282,0.02795425667090216,0.028847785508230105,0.023178807947019868,0.007751937984496124,0.0,0.0,0.018018018018018018,0.016194331983805668,0.0,0.02626970227670753,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.008888888888888889,0.20905923344947736,0.10031347962382445,0.031657142857142856,0.034610630407911,0.027777777777777776
42,Pittsburgh Southwest (remainder),166,0.027284681130834976,0.03049078754280124,0.0158866466294547,0.021634615384615384,0.017105620418137388,0.05269658295594895,0.05144694533762058,0.16397103606956756,0.037608318890814556,0.06422924901185771,0.012953367875647668,0.3269981640938122,0.0670886075949367,0.08803039898670044,0.046627218934911244,0.008849557522123894,0.023391812865497075,0.0,0.024464831804281346,0.0225613802256138,0.00980392156862745,0.014634146341463415,0.0,0.0,0.01293103448275862,0.0164702209039107,0.0106544901065449,0.0184417012344445,0,0,0.0,0.0,0.0,0,0,0,0,0.013052208835341365,0.0,0.12150706436420722,0.06470588235294118,0.051347881899871634,0.021032919377094422,0.018277101650136428
43,Allegheny County Southcentral,64,0.017877094972067038,0.019582909460834182,0.007801418439716312,0.01775625504439064,0.010861328618337964,0.03765690376569038,0.04,0.17832957110609482,0.014819881440948472,0.06486486486486487,0.004507888805409466,0.3671337966655273,0.06422018348623854,0.07521645021645022,0.035357737104825294,0.0,0.0053475935828877,0.0,0.008032128514056224,0.013285024154589372,0.0,0.0,0.0,0.0,0.0047169811320754715,0.004544030084612974,0.001430615164520744,0.01154225392958645,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0022409929322530597,0.0,0.10567090176634646,0.06862745098039216,0.04926108374384237,0.017539710693311263,0.007511912029365828
