,index,dist_origin,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
0,1,Pittsburgh Chateau Area,3313,2181.0,1118.0,1493.0,2458.0,54.0,160.0,1238.0,539.0,124.0,115.0,4113.0,104.0,351.0,610.0,7.0,59.0,7.0,48.0,182.0,15.0,14.0,4.0,4.0,36.0,194.0,13.0,3843.0,0.0,0.0,13.0,10.0,17.0,0.0,0.0,0.0,0.0,36.0,18.0,440.0,24.0,106.0,1909.0,1687.0
1,2,Pittsburgh Lower North Side,1782,3400.0,993.0,556.0,2774.0,65.0,179.0,1415.0,653.0,217.0,136.0,5031.0,185.0,633.0,1085.0,7.0,88.0,10.0,65.0,199.0,16.0,21.0,4.0,4.0,42.0,232.0,21.0,2116.0,0.0,0.0,5.0,10.0,22.0,0.0,0.0,0.0,0.0,45.0,27.0,604.0,46.0,188.0,1635.0,1633.0
2,3,Pittsburgh Upper North Side,3932,4673.0,3921.0,2976.0,10535.0,107.0,260.0,2867.0,1055.0,349.0,178.0,10098.0,288.0,1158.0,1916.0,14.0,110.0,5.0,45.0,283.0,11.0,13.0,3.0,0.0,39.0,275.0,12.0,7026.0,0.0,0.0,11.0,10.0,35.0,0.0,0.0,0.0,0.0,28.0,17.0,1205.0,64.0,285.0,2825.0,2847.0
3,4,Allegheny County Northwest,3040,1919.0,1548.0,47603.0,14946.0,71.0,163.0,1794.0,613.0,143.0,103.0,6375.0,118.0,393.0,688.0,10.0,41.0,4.0,37.0,152.0,10.0,6.0,3.0,0.0,21.0,163.0,11.0,26875.0,0.0,0.0,965.0,2648.0,1027.0,0.0,0.0,0.0,0.0,125.0,4.0,582.0,20.0,111.0,2467.0,2055.0
4,5,Allegheny County North (remainder),6512,10012.0,6805.0,15690.0,596529.0,400.0,1868.0,16492.0,3055.0,2924.0,581.0,34046.0,3947.0,3407.0,13803.0,34.0,7584.0,1173.0,3025.0,2238.0,180.0,88.0,15.0,1.0,175.0,737.0,45.0,16792.0,166.0,325.0,318.0,1534.0,18188.0,0.0,0.0,5.0,9.0,71.0,10145.0,3586.0,1361.0,9547.0,6397.0,5760.0
5,6,Hazelwood,255,361.0,134.0,81.0,622.0,1586.0,1197.0,4639.0,1743.0,473.0,1118.0,2973.0,287.0,199.0,692.0,124.0,184.0,11.0,306.0,805.0,53.0,94.0,32.0,6.0,284.0,908.0,73.0,613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,616.0,50.0,288.0,913.0,726.0
6,7,Squirrel Hill,909,1175.0,427.0,263.0,3421.0,1540.0,10436.0,19922.0,3634.0,4283.0,3316.0,8786.0,2807.0,702.0,4745.0,142.0,1278.0,68.0,1395.0,5590.0,258.0,200.0,41.0,11.0,785.0,1039.0,65.0,2358.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,124.0,1738.0,473.0,2942.0,2136.0,1927.0
7,8,Oakland,858,1186.0,560.0,391.0,3205.0,766.0,2570.0,24170.0,3780.0,2330.0,1081.0,7837.0,1285.0,828.0,4658.0,105.0,618.0,62.0,631.0,1742.0,127.0,142.0,56.0,29.0,369.0,1074.0,104.0,2203.0,0.0,0.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,77.0,144.0,2140.0,264.0,1127.0,2645.0,2199.0
8,9,South Side,736,1033.0,407.0,271.0,1760.0,475.0,818.0,6422.0,6463.0,525.0,633.0,7129.0,263.0,544.0,1259.0,79.0,199.0,20.0,291.0,724.0,58.0,80.0,33.0,15.0,212.0,1108.0,75.0,1958.0,0.0,0.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,59.0,49.0,1687.0,53.0,290.0,3969.0,2419.0
9,10,Shadyside,348,694.0,328.0,120.0,2740.0,276.0,2132.0,10845.0,944.0,4482.0,578.0,3657.0,2319.0,569.0,4774.0,26.0,671.0,32.0,507.0,1619.0,100.0,49.0,7.0,5.0,162.0,271.0,16.0,618.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,67.0,768.0,414.0,1682.0,804.0,681.0
