District_No,District,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
1,Pittsburgh Chateau Area,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pittsburgh Lower North Side,193.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pittsburgh Upper North Side,161.0,259.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Allegheny County Northwest,239.0,128.0,141.0,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Allegheny County North (remainder),134.0,294.0,301.0,242.0,1395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Hazelwood,20.0,28.0,17.0,13.0,40.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Squirrel Hill,37.0,60.0,18.0,21.0,95.0,375.0,397.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Oakland,244.0,434.0,382.0,342.0,1180.0,1205.0,6470.0,5793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,South Side,47.0,89.0,43.0,28.0,71.0,131.0,172.0,2012.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Shadyside,23.0,54.0,23.0,15.0,141.0,64.0,634.0,4345.0,91.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
