Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
33,51.0,22.0,12.0,50.0,355.0,121.0,476.0,409.0,40.0,876.0,298.0,31.0,35.0,77.0,285.0,20.0,0.0,100.0,184.0,38.0,128.0,40.0,8.0,537.0,1270.0,116.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,115.0,5.0,28.0,299.0,313.0
102,210.0,108.0,14.0,7200.0,269.0,712.0,2232.0,564.0,628.0,381.0,735.0,967.0,186.0,1106.0,7.0,30356.0,1803.0,7425.0,6533.0,463.0,144.0,10.0,0.0,195.0,91.0,9.0,291.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,581.0,244.0,189.0,2273.0,230.0,157.0
0,0.0,0.0,0.0,2209.0,12.0,95.0,19.0,25.0,50.0,27.0,0.0,87.0,0.0,75.0,1.0,4040.0,17214.0,10507.0,1063.0,174.0,51.0,0.0,0.0,57.0,4.0,0.0,154.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3759.0,1.0,16.0,258.0,0.0,0.0
1,3.0,0.0,0.0,288.0,100.0,174.0,484.0,219.0,115.0,324.0,135.0,128.0,14.0,163.0,12.0,1696.0,725.0,35459.0,3671.0,1699.0,424.0,29.0,13.0,248.0,155.0,29.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1742.0,69.0,20.0,214.0,16.0,12.0
377,451.0,187.0,80.0,2097.0,917.0,2373.0,5032.0,1821.0,1243.0,2865.0,2036.0,1329.0,336.0,1713.0,65.0,4543.0,175.0,7671.0,20774.0,1931.0,595.0,51.0,10.0,1199.0,657.0,72.0,627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,429.0,686.0,211.0,2622.0,999.0,807.0
0,0.0,0.0,0.0,38.0,87.0,131.0,336.0,154.0,86.0,449.0,56.0,97.0,8.0,135.0,17.0,612.0,58.0,5498.0,2895.0,5777.0,1684.0,98.0,44.0,585.0,392.0,99.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1137.0,43.0,18.0,159.0,19.0,11.0
0,0.0,0.0,0.0,0.0,289.0,158.0,56.0,266.0,42.0,832.0,0.0,45.0,0.0,29.0,108.0,465.0,49.0,3317.0,2000.0,3913.0,13549.0,986.0,533.0,2257.0,2256.0,608.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2136.0,45.0,5.0,121.0,102.0,113.0
0,0.0,0.0,0.0,0.0,281.0,91.0,165.0,300.0,8.0,493.0,27.0,1.0,3.0,17.0,109.0,99.0,1.0,723.0,487.0,635.0,3114.0,3169.0,491.0,1018.0,2347.0,1588.0,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,81.0,302.0,112.0,0.0,21.0,123.0,186.0
0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,43.0,53.0,0.0,642.0,311.0,699.0,3261.0,920.0,10362.0,496.0,1819.0,2028.0,92.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1002.0,2701.0,0.0,0.0,0.0,7.0,59.0
112,133.0,41.0,9.0,107.0,782.0,647.0,1650.0,882.0,213.0,4942.0,725.0,181.0,90.0,301.0,363.0,339.0,25.0,1755.0,2477.0,977.0,1939.0,298.0,55.0,9286.0,4621.0,677.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,195.0,288.0,32.0,251.0,640.0,781.0
380,481.0,196.0,92.0,514.0,969.0,335.0,2029.0,1928.0,142.0,1983.0,2687.0,93.0,356.0,493.0,321.0,58.0,1.0,318.0,552.0,193.0,578.0,187.0,58.0,1240.0,36078.0,2679.0,2327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,16.0,738.0,20.0,77.0,5288.0,12679.0
1,4.0,0.0,0.0,0.0,229.0,42.0,19.0,187.0,0.0,455.0,76.0,0.0,7.0,5.0,92.0,56.0,0.0,419.0,280.0,224.0,709.0,664.0,545.0,763.0,9754.0,21379.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.0,164.0,28.0,0.0,0.0,424.0,6007.0
976,678.0,401.0,4372.0,1636.0,64.0,80.0,767.0,420.0,48.0,69.0,1724.0,31.0,220.0,257.0,5.0,5.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,10.0,170.0,19.0,176342.0,0.0,0.0,874.0,444.0,31.0,0.0,0.0,0.0,0.0,5862.0,0.0,311.0,7.0,44.0,3933.0,10521.0
0,0.0,0.0,0.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,206.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,37035.0,4858.0,0.0,0.0,265.0,0.0,0.0,4264.0,0.0,0.0,6143.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,1345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2823.0,16032.0,0.0,0.0,2920.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,1833.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21812.0,0.0,0.0,39528.0,6453.0,586.0,0.0,0.0,0.0,0.0,1221.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.0,1.0,4502.0,4719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5978.0,0.0,0.0,20331.0,110888.0,12006.0,0.0,0.0,0.0,3001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,60.0,16040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,65.0,691.0,115.0,1477.0,256683.0,0.0,0.0,0.0,897.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,129158.0,515.0,0.0,0.0,2580.0,14313.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1452.0,41523.0,0.0,0.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,105466.0,0.0,0.0,2106.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,5637.0,2727.0,0.0,0.0,0.0,100120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,21.0,12.0,29.0,130.0,126.0,683.0,105.0,1315.0,3008.0,10389.0,0.0,0.0,23.0,0.0,0.0,4149.0,883.0,0.0,0.0,264335.0,6635.0,0.0,0.0,0.0,97.0,6393.0
0,0.0,0.0,0.0,15754.0,3.0,50.0,4.0,0.0,17.0,202.0,0.0,12.0,0.0,5.0,10.0,2599.0,3944.0,15855.0,1787.0,3021.0,2673.0,198.0,887.0,401.0,210.0,367.0,466.0,2004.0,200.0,0.0,0.0,762.0,2542.0,0.0,2647.0,0.0,4454.0,437812.0,0.0,2.0,224.0,0.0,0.0
126,212.0,90.0,46.0,374.0,121.0,84.0,985.0,435.0,65.0,52.0,1073.0,41.0,170.0,267.0,5.0,16.0,0.0,29.0,73.0,3.0,0.0,2.0,0.0,9.0,60.0,0.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.0,8.0,39.0,359.0,349.0
103,212.0,111.0,32.0,2522.0,99.0,396.0,1315.0,176.0,534.0,125.0,434.0,1049.0,213.0,1544.0,3.0,282.0,11.0,142.0,443.0,22.0,2.0,0.0,0.0,33.0,32.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,165.0,697.0,738.0,208.0,202.0
131,232.0,121.0,36.0,2732.0,295.0,1184.0,2989.0,487.0,1041.0,382.0,624.0,1450.0,234.0,1550.0,10.0,1475.0,48.0,752.0,2815.0,118.0,43.0,3.0,0.0,138.0,85.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,281.0,221.0,3265.0,295.0,243.0
2136,2224.0,886.0,1067.0,3199.0,818.0,529.0,4882.0,5120.0,356.0,1024.0,9302.0,262.0,1230.0,1567.0,118.0,102.0,0.0,67.0,606.0,16.0,55.0,19.0,1.0,264.0,5925.0,248.0,21094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,0.0,2342.0,55.0,278.0,20512.0,21489.0
992,1103.0,409.0,348.0,1242.0,275.0,207.0,1858.0,1503.0,132.0,436.0,4115.0,98.0,548.0,658.0,58.0,26.0,0.0,2.0,187.0,2.0,30.0,17.0,5.0,174.0,7247.0,2178.0,32053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10987.0,0.0,918.0,19.0,85.0,8018.0,104646.0
