District_No,District,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
30,Armstrong County West,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,,,,,,,,,,,,,,
31,Beaver County South,1.0,0.0,0.0,57.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,259.0,,,,,,,,,,,,,
32,Beaver County North,6.0,4.0,1.0,324.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,444.0,958.0,,,,,,,,,,,,
33,Butler County,0.0,0.0,0.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,917.0,,,,,,,,,,,
34,Fayette County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,
35,Greene County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
36,Indiana County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,,,,,,,,
37,Lawrence County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,,,,,,
38,Washington County,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,3.0,88.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,12.0,4.0,20.0,7.0,72.0,80.0,95.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1772.0,,,,,,
39,Westmoreland County,1.0,4.0,0.0,0.0,470.0,1.0,5.0,31.0,1.0,6.0,5.0,103.0,10.0,4.0,18.0,0.0,41.0,12.0,145.0,40.0,39.0,26.0,2.0,2.0,11.0,10.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,2543.0,,,,,
40,Midtown/Uptown,69.0,115.0,102.0,76.0,199.0,72.0,295.0,876.0,242.0,189.0,36.0,1122.0,85.0,63.0,361.0,10.0,49.0,5.0,17.0,199.0,13.0,11.0,3.0,1.0,67.0,130.0,9.0,132.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,,,,
41,Highland Park,7.0,21.0,4.0,4.0,159.0,6.0,76.0,1162.0,15.0,227.0,6.0,1365.0,276.0,82.0,514.0,0.0,30.0,1.0,6.0,75.0,1.0,1.0,0.0,0.0,5.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,75.0,35.0,,,
42,Homewood/Lincoln-Lemington,17.0,37.0,14.0,9.0,287.0,25.0,325.0,2025.0,46.0,443.0,28.0,1557.0,370.0,89.0,561.0,1.0,263.0,7.0,65.0,671.0,21.0,9.0,1.0,0.0,32.0,17.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,111.0,164.0,256.0,,
43,Pittsburgh Southwest (remainder),216.0,281.0,111.0,111.0,198.0,73.0,103.0,1659.0,569.0,79.0,55.0,11761.0,65.0,248.0,304.0,9.0,24.0,1.0,15.0,102.0,6.0,13.0,3.0,1.0,42.0,411.0,18.0,944.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,546.0,20.0,58.0,948.0,
44,Allegheny County Southcentral,109.0,154.0,81.0,63.0,88.0,35.0,58.0,924.0,130.0,45.0,27.0,8917.0,42.0,127.0,171.0,4.0,7.0,0.0,5.0,55.0,2.0,11.0,4.0,3.0,30.0,274.0,34.0,1043.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,233.0,5.0,255.0,14.0,32.0,1178.0,1732.0
