,route,dist_from,fromDistName,dist_to,toDistName,SPC_20,SPC_45,APC_19_curr,APC_45_proj
801,P69,19,Monroeville Pitcairn Turtle Creek,10,Shadyside,0.7783783783783784,0.7783783783783784,1.0653921090151988,1.0653921090151988
803,P69,19,Monroeville Pitcairn Turtle Creek,12,Downtown,21.665529010238906,31.576791808873715,29.654322738558708,43.22019438833414
804,P69,19,Monroeville Pitcairn Turtle Creek,13,East Liberty,0.7783783783783784,0.9081081081081083,1.0653921090151988,1.242957460517732
806,P69,19,Monroeville Pitcairn Turtle Creek,15,Pittsburgh East (remainder),0.972972972972973,1.1027027027027028,1.3317401362689985,1.5093054877715315
810,P69,19,Monroeville Pitcairn Turtle Creek,19,Monroeville Pitcairn Turtle Creek,5.003021148036254,4.604229607250755,6.847799733926996,6.30196062470093
811,P69,19,Monroeville Pitcairn Turtle Creek,20,Wilkinsburg Wilkins Braddock and vicinity,3.3181818181818183,3.3181818181818183,4.541704681897178,4.541704681897178
812,P69,19,Monroeville Pitcairn Turtle Creek,21,Wilmerding Wall North Versailles,1.7027027027027029,1.621621621621622,2.3305452384707475,2.219566893781664
830,P69,19,Monroeville Pitcairn Turtle Creek,39,Westmoreland County,1.5737704918032789,1.5737704918032789,2.154071477243845,2.154071477243845
833,P69,19,Monroeville Pitcairn Turtle Creek,42,Homewood/Lincoln-Lemington,0.7372013651877133,0.8600682593856656,1.009031775603132,1.177203738203654
801,P67,19,Monroeville Pitcairn Turtle Creek,10,Shadyside,1.2324324324324325,1.2324324324324325,3.3004289216434644,3.3004289216434644
803,P67,19,Monroeville Pitcairn Turtle Creek,12,Downtown,34.3037542662116,49.99658703071671,91.8647543847092,133.8898405115516
804,P67,19,Monroeville Pitcairn Turtle Creek,13,East Liberty,1.2324324324324325,1.437837837837838,3.3004289216434644,3.850500408584042
806,P67,19,Monroeville Pitcairn Turtle Creek,15,Pittsburgh East (remainder),1.5405405405405406,1.7459459459459459,4.12553615205433,4.675607638994908
810,P67,19,Monroeville Pitcairn Turtle Creek,19,Monroeville Pitcairn Turtle Creek,7.921450151057402,7.290030211480362,21.213481966152475,19.522552244212783
811,P67,19,Monroeville Pitcairn Turtle Creek,20,Wilkinsburg Wilkins Braddock and vicinity,5.253787878787879,5.253787878787879,14.069536801387304,14.069536801387304
833,P67,19,Monroeville Pitcairn Turtle Creek,42,Homewood/Lincoln-Lemington,1.167235494880546,1.3617747440273036,3.125832852409765,3.6468049944780594
801,P68,19,Monroeville Pitcairn Turtle Creek,10,Shadyside,3.1783783783783788,3.1783783783783788,5.833991338034601,5.833991338034601
803,P68,19,Monroeville Pitcairn Turtle Creek,12,Downtown,88.46757679180887,128.938566552901,162.38440338360527,236.66989604680464
804,P68,19,Monroeville Pitcairn Turtle Creek,13,East Liberty,3.1783783783783788,3.708108108108109,5.833991338034601,6.806323227707035
806,P68,19,Monroeville Pitcairn Turtle Creek,15,Pittsburgh East (remainder),3.972972972972973,4.5027027027027025,7.29248917254325,8.264821062215683
810,P68,19,Monroeville Pitcairn Turtle Creek,19,Monroeville Pitcairn Turtle Creek,20.429003021148034,18.800604229607245,37.4979352618387,34.50896940763416
811,P68,19,Monroeville Pitcairn Turtle Creek,20,Wilkinsburg Wilkins Braddock and vicinity,13.549242424242426,13.549242424242426,24.86996623111025,24.86996623111025
812,P68,19,Monroeville Pitcairn Turtle Creek,21,Wilmerding Wall North Versailles,6.952702702702703,6.621621621621622,12.761856051950687,12.154148620905417
833,P68,19,Monroeville Pitcairn Turtle Creek,42,Homewood/Lincoln-Lemington,3.0102389078498293,3.5119453924914676,5.525367222882599,6.4462617600296985
801,77,19,Monroeville Pitcairn Turtle Creek,10,Shadyside,4.345945945945947,4.345945945945947,1.455299041555134,1.455299041555134
803,77,19,Monroeville Pitcairn Turtle Creek,12,Downtown,120.96587030716722,176.30375426621157,40.50706504601625,59.03770727878739
804,77,19,Monroeville Pitcairn Turtle Creek,13,East Liberty,4.345945945945947,5.070270270270272,1.455299041555134,1.697848881814323
806,77,19,Monroeville Pitcairn Turtle Creek,15,Pittsburgh East (remainder),5.4324324324324325,6.1567567567567565,1.819123801943917,2.061673642203106
