,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
dist_origin,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
Strip District,351.0,633.0,1158.0,393.0,3407.0,199.0,702.0,828.0,544.0,569.0,118.0,1085.0,312.0,386.0,2439.0,76.0,477.0,88.0,148.0,718.0,77.0,75.0,49.0,2.0,257.0,865.0,82.0,718.0,0.0,0.0,3.0,36.0,40.0,0.0,0.0,0.0,0.0,49.0,119.0,280.0,374.0,475.0,2507.0,1480.0
Pittsburgh East (remainder),610.0,1085.0,1916.0,688.0,13803.0,692.0,4745.0,4658.0,1259.0,4774.0,493.0,1989.0,2653.0,616.0,18280.0,220.0,3352.0,617.0,775.0,4475.0,469.0,393.0,168.0,25.0,1049.0,1730.0,186.0,1282.0,0.0,26.0,2.0,48.0,205.0,0.0,0.0,0.0,0.0,67.0,1210.0,648.0,3290.0,3758.0,4322.0,2545.0
Hays Lincoln Place,7.0,7.0,14.0,10.0,34.0,124.0,142.0,105.0,79.0,26.0,225.0,48.0,18.0,6.0,36.0,570.0,38.0,4.0,38.0,181.0,57.0,265.0,236.0,120.0,876.0,949.0,233.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,81.0,12.0,9.0,34.0,308.0,208.0
Verona Oakmont Penn Hills,59.0,88.0,110.0,41.0,7584.0,184.0,1278.0,618.0,199.0,671.0,301.0,228.0,617.0,46.0,1112.0,54.0,63116.0,8713.0,5496.0,10285.0,1393.0,962.0,195.0,178.0,711.0,207.0,55.0,131.0,566.0,188.0,0.0,0.0,373.0,0.0,0.0,32.0,0.0,2.0,9426.0,55.0,547.0,3194.0,359.0,188.0
Plum Borough,7.0,10.0,5.0,4.0,1173.0,11.0,68.0,62.0,20.0,32.0,26.0,40.0,36.0,5.0,63.0,3.0,3993.0,30880.0,2671.0,515.0,152.0,94.0,14.0,28.0,41.0,5.0,2.0,9.0,880.0,30.0,0.0,0.0,50.0,0.0,0.0,72.0,0.0,0.0,9770.0,5.0,26.0,140.0,33.0,19.0
Monroeville Pitcairn Turtle Creek,48.0,65.0,45.0,37.0,3025.0,306.0,1395.0,631.0,291.0,507.0,612.0,245.0,353.0,30.0,687.0,119.0,15967.0,20328.0,87019.0,16846.0,11306.0,6635.0,1210.0,1704.0,2268.0,383.0,286.0,149.0,1036.0,20.0,0.0,0.0,103.0,0.0,0.0,88.0,0.0,42.0,40480.0,75.0,270.0,1627.0,379.0,200.0
Wilkinsburg Wilkins Braddock and vicinity,182.0,199.0,283.0,152.0,2238.0,805.0,5590.0,1742.0,724.0,1619.0,2061.0,632.0,1039.0,87.0,1998.0,366.0,13834.0,2416.0,9741.0,42025.0,6359.0,4572.0,1140.0,1032.0,5645.0,1401.0,518.0,429.0,21.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,59.0,7445.0,181.0,789.0,5538.0,1435.0,839.0
Wilmerding Wall North Versailles,15.0,16.0,11.0,10.0,180.0,53.0,258.0,127.0,58.0,100.0,302.0,54.0,75.0,7.0,129.0,76.0,1107.0,380.0,4483.0,4418.0,12017.0,8069.0,1341.0,1604.0,2061.0,512.0,465.0,36.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,134.0,7959.0,13.0,45.0,285.0,88.0,91.0
McKeesport White Oak,14.0,21.0,13.0,6.0,88.0,94.0,200.0,142.0,80.0,49.0,367.0,87.0,32.0,11.0,55.0,264.0,379.0,113.0,1381.0,1608.0,4116.0,28645.0,6550.0,7157.0,4542.0,1701.0,1681.0,29.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,682.0,7347.0,18.0,13.0,138.0,188.0,276.0
Lincoln Liberty Port Vue,4.0,4.0,3.0,3.0,15.0,32.0,41.0,56.0,33.0,7.0,78.0,27.0,7.0,2.0,11.0,90.0,37.0,10.0,117.0,157.0,289.0,2337.0,6224.0,2048.0,730.0,647.0,1538.0,15.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,443.0,814.0,11.0,0.0,15.0,75.0,108.0
Elizabeth Forward South Versailles,4.0,4.0,0.0,0.0,1.0,6.0,11.0,29.0,15.0,5.0,26.0,18.0,2.0,3.0,8.0,15.0,15.0,8.0,101.0,69.0,165.0,1413.0,1072.0,19923.0,168.0,340.0,1327.0,6.0,0.0,0.0,0.0,0.0,0.0,312.0,1.0,0.0,0.0,1981.0,2849.0,4.0,2.0,6.0,24.0,80.0
Munhall Whitaker Duquesne,36.0,42.0,39.0,21.0,175.0,284.0,785.0,369.0,212.0,162.0,1800.0,155.0,95.0,14.0,202.0,1010.0,435.0,66.0,591.0,2718.0,1307.0,4854.0,2082.0,1179.0,18463.0,3277.0,1591.0,116.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,376.0,1497.0,45.0,62.0,320.0,610.0,616.0
Baldwin Brentwood Whitehall West Mifflin,194.0,232.0,275.0,163.0,737.0,908.0,1039.0,1074.0,1108.0,271.0,1451.0,877.0,132.0,114.0,610.0,2238.0,206.0,19.0,304.0,1292.0,793.0,4423.0,4503.0,4638.0,9073.0,76492.0,19584.0,945.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,4969.0,2262.0,208.0,94.0,279.0,11088.0,16810.0
Allegheny County Southeast (remainder),13.0,21.0,12.0,11.0,45.0,73.0,65.0,104.0,75.0,16.0,141.0,90.0,11.0,8.0,33.0,194.0,27.0,2.0,97.0,153.0,214.0,1266.0,2854.0,4217.0,1299.0,6623.0,39180.0,183.0,0.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,7973.0,1842.0,15.0,3.0,22.0,599.0,6123.0
