,route,dist_from,fromDistName,dist_to,toDistName,SPC_20,SPC_45,APC_19_curr,APC_45_proj
889,P69,21,Wilmerding Wall North Versailles,10,Shadyside,1.0105263157894735,1.0105263157894735,0.3097459284497007,0.3097459284497007
891,P69,21,Wilmerding Wall North Versailles,12,Downtown,35.25,45.49999999999999,10.804809144749328,13.946633080456577
892,P69,21,Wilmerding Wall North Versailles,13,East Liberty,1.136842105263158,1.136842105263158,0.3484641695059134,0.3484641695059134
894,P69,21,Wilmerding Wall North Versailles,15,Pittsburgh East (remainder),1.7684210526315791,1.642105263157895,0.5420553747869764,0.5033371337307638
898,P69,21,Wilmerding Wall North Versailles,19,Monroeville Pitcairn Turtle Creek,7.864864864864866,8.10810810810811,2.410733725222967,2.485292500229863
899,P69,21,Wilmerding Wall North Versailles,20,Wilkinsburg Wilkins Braddock and vicinity,5.802197802197803,5.406593406593407,1.7784862375271282,1.6572258122411876
900,P69,21,Wilmerding Wall North Versailles,21,Wilmerding Wall North Versailles,2.4770642201834865,2.311926605504587,0.7592682592445361,0.7086503752949003
918,P69,21,Wilmerding Wall North Versailles,39,Westmoreland County,2.163934426229508,1.7704918032786885,0.6632879000613469,0.5426901000501929
921,P69,21,Wilmerding Wall North Versailles,42,Homewood/Lincoln-Lemington,1.25,1.3333333333333335,0.3831492604521038,0.4086925444822441
900,55,21,Wilmerding Wall North Versailles,21,Wilmerding Wall North Versailles,7.431192660550458,6.93577981651376,95.26526905320519,88.91425111632483
901,55,21,Wilmerding Wall North Versailles,22,McKeesport White Oak,4.333333333333333,4.0,55.55180504049043,51.27858926814502
905,55,21,Wilmerding Wall North Versailles,26,Baldwin Brentwood Whitehall West Mifflin,2.4324324324324325,3.4054054054054053,31.182925906304405,43.65609626882616
889,P68,21,Wilmerding Wall North Versailles,10,Shadyside,4.126315789473685,4.126315789473685,2.286908764073091,2.286908764073091
891,P68,21,Wilmerding Wall North Versailles,12,Downtown,143.9375,185.79166666666666,79.77380962176835,102.97044929902013
892,P68,21,Wilmerding Wall North Versailles,13,East Liberty,4.6421052631578945,4.6421052631578945,2.5727723595822267,2.5727723595822267
894,P68,21,Wilmerding Wall North Versailles,15,Pittsburgh East (remainder),7.221052631578948,6.705263157894738,4.002090337127909,3.7162267416187724
898,P68,21,Wilmerding Wall North Versailles,19,Monroeville Pitcairn Turtle Creek,32.114864864864856,33.108108108108105,17.798871842004665,18.349352414437803
899,P68,21,Wilmerding Wall North Versailles,20,Wilkinsburg Wilkins Braddock and vicinity,23.69230769230769,22.076923076923073,13.13087724426582,12.235590159429513
900,P68,21,Wilmerding Wall North Versailles,21,Wilmerding Wall North Versailles,10.11467889908257,9.440366972477063,5.605811333952101,5.232090578355294
921,P68,21,Wilmerding Wall North Versailles,42,Homewood/Lincoln-Lemington,5.104166666666667,5.4444444444444455,2.8288584972258284,3.017449063707551
886,69,21,Wilmerding Wall North Versailles,7,Squirrel Hill,11.0,12.0,2.965034566181878,3.234583163107503
887,69,21,Wilmerding Wall North Versailles,8,Oakland,164.0,234.0,44.205969895802546,63.074371680596315
891,69,21,Wilmerding Wall North Versailles,12,Downtown,143.9375,185.79166666666666,38.79815116998219,50.079883070473464
