District_No,District,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
1,Pittsburgh Chateau Area,3883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pittsburgh Lower North Side,4244.0,3469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pittsburgh Upper North Side,5608.0,5932.0,4523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Allegheny County Northwest,5077.0,2618.0,4866.0,53014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Allegheny County North (remainder),9944.0,13769.0,18862.0,32261.0,697716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Hazelwood,505.0,630.0,486.0,306.0,2021.0,7007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Squirrel Hill,1093.0,1350.0,747.0,466.0,5744.0,5909.0,12483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Oakland,2238.0,2545.0,3582.0,2387.0,21055.0,9631.0,25099.0,25354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,South Side,1387.0,1725.0,1632.0,1001.0,5271.0,4140.0,5069.0,11189.0,7265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Shadyside,475.0,889.0,703.0,250.0,5765.0,1375.0,6774.0,13708.0,1571.0,4404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Waterfront (West Homestead Homestead Munhall(part)),309.0,360.0,302.0,170.0,1051.0,2794.0,4991.0,3602.0,1583.0,997.0,8737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Downtown,6697.0,8347.0,13100.0,8751.0,48178.0,4819.0,11008.0,13014.0,10932.0,4862.0,2083.0,14685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,East Liberty,337.0,584.0,539.0,200.0,7164.0,714.0,4391.0,5131.0,671.0,4129.0,598.0,2336.0,2708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Strip District,880.0,1553.0,2013.0,728.0,6297.0,466.0,1124.0,2221.0,1215.0,999.0,226.0,5063.0,638.0,1044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pittsburgh East (remainder),2362.0,4336.0,3781.0,1304.0,27558.0,2210.0,8169.0,26242.0,3719.0,10046.0,1246.0,18215.0,7949.0,4619.0,20938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Hays Lincoln Place,105.0,147.0,66.0,39.0,176.0,1229.0,453.0,1365.0,902.0,134.0,1990.0,1386.0,102.0,101.0,247.0,652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Verona Oakmont Penn Hills,554.0,874.0,503.0,119.0,24859.0,1286.0,3697.0,9160.0,1538.0,2649.0,1199.0,6229.0,3875.0,719.0,4933.0,96.0,66209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Plum Borough,75.0,120.0,47.0,9.0,7203.0,320.0,575.0,1968.0,329.0,397.0,207.0,1982.0,640.0,129.0,881.0,18.0,14260.0,37900.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Monroeville Pitcairn Turtle Creek,307.0,376.0,145.0,80.0,4417.0,1098.0,2361.0,4379.0,1140.0,1030.0,1624.0,4332.0,1018.0,249.0,1583.0,272.0,21125.0,24832.0,89639.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,Wilkinsburg Wilkins Braddock and vicinity,1257.0,1522.0,803.0,393.0,7195.0,3918.0,12796.0,17448.0,4365.0,5028.0,8154.0,11843.0,4864.0,1099.0,6999.0,587.0,24760.0,3409.0,26560.0,42819.0,,,,,,,,,,,,,,,,,,,,,,,,
21,Wilmerding Wall North Versailles,113.0,137.0,68.0,19.0,508.0,452.0,779.0,1987.0,464.0,396.0,1391.0,1866.0,433.0,98.0,642.0,149.0,2742.0,717.0,16428.0,10877.0,13023.0,,,,,,,,,,,,,,,,,,,,,,,
22,McKeesport White Oak,77.0,93.0,31.0,13.0,255.0,1250.0,783.0,1695.0,878.0,288.0,2306.0,1860.0,334.0,80.0,461.0,573.0,1694.0,389.0,8744.0,6223.0,12911.0,29800.0,,,,,,,,,,,,,,,,,,,,,,
23,Lincoln Liberty Port Vue,22.0,43.0,14.0,5.0,43.0,886.0,314.0,913.0,722.0,85.0,1110.0,1200.0,77.0,49.0,148.0,348.0,326.0,36.0,1659.0,1281.0,1685.0,9012.0,6408.0,,,,,,,,,,,,,,,,,,,,,
24,Elizabeth Forward South Versailles,5.0,2.0,2.0,0.0,3.0,614.0,172.0,81.0,194.0,33.0,612.0,43.0,39.0,4.0,25.0,158.0,317.0,43.0,1945.0,1209.0,1912.0,9136.0,3367.0,22572.0,,,,,,,,,,,,,,,,,,,,
25,Munhall Whitaker Duquesne,441.0,514.0,217.0,75.0,715.0,2934.0,2735.0,5998.0,2149.0,774.0,12088.0,4612.0,671.0,317.0,1172.0,2033.0,1416.0,339.0,4749.0,8381.0,3674.0,9625.0,2913.0,1501.0,19334.0,,,,,,,,,,,,,,,,,,,
26,Baldwin Brentwood Whitehall West Mifflin,1506.0,1743.0,857.0,471.0,2127.0,5277.0,2198.0,8835.0,5963.0,770.0,6432.0,14008.0,526.0,1122.0,2095.0,3526.0,674.0,182.0,1904.0,3236.0,1612.0,6896.0,5400.0,4843.0,13046.0,85620.0,,,,,,,,,,,,,,,,,,
27,Allegheny County Southeast (remainder),141.0,124.0,42.0,24.0,106.0,1333.0,393.0,648.0,942.0,95.0,1360.0,1456.0,92.0,68.0,168.0,542.0,369.0,69.0,1495.0,1270.0,971.0,3546.0,5046.0,6409.0,3613.0,29636.0,48254.0,,,,,,,,,,,,,,,,,
28,Allegheny County West,8053.0,5207.0,8648.0,42032.0,25178.0,1166.0,2860.0,6427.0,3885.0,907.0,711.0,19036.0,568.0,1754.0,4679.0,211.0,787.0,252.0,671.0,1886.0,211.0,266.0,119.0,152.0,546.0,6246.0,1600.0,426507.0,,,,,,,,,,,,,,,,
29,Armstrong County East,0.0,0.0,0.0,0.0,3751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,899.0,953.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,90624.0,,,,,,,,,,,,,,,
30,Armstrong County West,0.0,0.0,0.0,0.0,5345.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,22.0,0.0,192.0,33.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,20357.0,39232.0,,,,,,,,,,,,,,
31,Beaver County South,58.0,22.0,28.0,6188.0,1411.0,0.0,1.0,1.0,7.0,0.0,0.0,23.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53515.0,0.0,0.0,84452.0,,,,,,,,,,,,,
32,Beaver County North,238.0,223.0,173.0,15375.0,16216.0,0.0,2.0,7.0,7.0,1.0,0.0,700.0,0.0,54.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24543.0,0.0,0.0,56785.0,252269.0,,,,,,,,,,,,
33,Butler County,215.0,347.0,352.0,2754.0,74641.0,0.0,9.0,13.0,16.0,21.0,0.0,695.0,77.0,86.0,255.0,0.0,521.0,100.0,83.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2565.0,2204.0,10998.0,2082.0,32998.0,641371.0,,,,,,,,,,,
34,Fayette County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,116.0,54.0,392.0,11.0,138.0,297.0,23.0,0.0,0.0,0.0,0.0,0.0,323132.0,,,,,,,,,,
35,Greene County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,6201.0,103139.0,,,,,,,,,
36,Indiana County,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,97.0,102.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11243.0,90.0,0.0,0.0,2.0,0.0,0.0,270360.0,,,,,,,,
37,Lawrence County,0.0,0.0,0.0,3.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,674.0,24405.0,12729.0,0.0,0.0,0.0,247201.0,,,,,,,
38,Washington County,183.0,193.0,74.0,291.0,129.0,207.0,88.0,184.0,241.0,24.0,370.0,1381.0,16.0,77.0,106.0,113.0,107.0,10.0,471.0,413.0,328.0,1091.0,765.0,4701.0,886.0,6872.0,14591.0,47542.0,0.0,0.0,3751.0,242.0,0.0,18796.0,5847.0,0.0,0.0,631732.0,,,,,,
39,Westmoreland County,51.0,106.0,74.0,9.0,51220.0,517.0,1444.0,1620.0,335.0,709.0,1405.0,1357.0,1136.0,118.0,1418.0,146.0,12094.0,19868.0,50674.0,10188.0,12727.0,13929.0,1679.0,9114.0,2696.0,2693.0,2817.0,731.0,20612.0,1401.0,0.0,0.0,3347.0,40840.0,29.0,14444.0,0.0,27127.0,1045582.0,,,,,
40,Midtown/Uptown,1055.0,1490.0,1853.0,983.0,6263.0,1608.0,2871.0,6708.0,3640.0,1397.0,546.0,8314.0,608.0,1124.0,4314.0,343.0,1071.0,305.0,657.0,2398.0,281.0,401.0,387.0,41.0,975.0,2697.0,391.0,2635.0,0.0,0.0,3.0,44.0,54.0,0.0,0.0,0.0,0.0,128.0,277.0,2261.0,,,,
41,Highland Park,293.0,560.0,332.0,98.0,6430.0,345.0,1541.0,4474.0,412.0,1850.0,304.0,2745.0,3269.0,591.0,5126.0,22.0,1180.0,127.0,382.0,1464.0,108.0,51.0,10.0,5.0,162.0,153.0,14.0,401.0,0.0,9.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,3.0,219.0,542.0,1529.0,,,
42,Homewood/Lincoln-Lemington,510.0,869.0,666.0,245.0,18473.0,1293.0,6667.0,10164.0,1321.0,4658.0,1181.0,4165.0,5474.0,832.0,7385.0,96.0,9770.0,1258.0,2665.0,12738.0,861.0,597.0,124.0,115.0,1113.0,615.0,148.0,830.0,9.0,99.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,33.0,2673.0,1040.0,2305.0,8750.0,,
43,Pittsburgh Southwest (remainder),8364.0,7916.0,5530.0,5397.0,14784.0,3901.0,3950.0,17568.0,15928.0,1855.0,3241.0,43062.0,1254.0,3953.0,7277.0,1089.0,1235.0,124.0,851.0,4112.0,344.0,710.0,516.0,247.0,2522.0,27456.0,2389.0,54808.0,0.0,0.0,134.0,138.0,67.0,0.0,0.0,0.0,0.0,2732.0,176.0,7681.0,635.0,1588.0,50730.0,
44,Allegheny County Southcentral,5460.0,5638.0,4463.0,3466.0,10195.0,2457.0,2880.0,10148.0,6809.0,1212.0,2054.0,29902.0,797.0,2511.0,5176.0,875.0,719.0,53.0,575.0,2730.0,255.0,774.0,627.0,525.0,2500.0,47894.0,20808.0,102260.0,0.0,0.0,280.0,122.0,28.0,29.0,0.0,0.0,0.0,49048.0,276.0,4263.0,501.0,1018.0,71549.0,252266.0
