,route,dist_from,fromDistName,dist_to,toDistName,SPC_20,SPC_45,APC_19_curr,APC_45_proj
757,77,18,Plum Borough,10,Shadyside,1.0075187969924813,1.511278195488722,0.21502521900716753,0.3225378285107513
759,77,18,Plum Borough,12,Downtown,85.13533834586467,113.84962406015038,18.169631006105657,24.29784974780993
760,77,18,Plum Borough,13,East Liberty,2.0150375939849625,2.518796992481203,0.43005043801433507,0.5375630475179188
762,77,18,Plum Borough,15,Pittsburgh East (remainder),2.0150375939849625,2.518796992481203,0.43005043801433507,0.5375630475179188
764,77,18,Plum Borough,17,Verona Oakmont Penn Hills,11.284210526315787,12.69473684210526,2.4082824528802758,2.70931775949031
765,77,18,Plum Borough,18,Plum Borough,4.030075187969925,5.541353383458647,0.8601008760286701,1.1826387045394213
766,77,18,Plum Borough,19,Monroeville Pitcairn Turtle Creek,18.504761904761907,19.142857142857142,3.9492965224316436,4.085479161136182
789,77,18,Plum Borough,42,Homewood/Lincoln-Lemington,2.518796992481203,3.0225563909774436,0.5375630475179187,0.6450756570215025
752,P16,18,Plum Borough,5,Allegheny County North (remainder),2.0,2.0,0.982925522881367,0.982925522881367
757,P16,18,Plum Borough,10,Shadyside,0.42105263157894735,0.631578947368421,0.2069316890276562,0.3103975335414843
759,P16,18,Plum Borough,12,Downtown,35.57894736842105,47.57894736842104,17.48572772283695,23.383280860125147
760,P16,18,Plum Borough,13,East Liberty,0.8421052631578947,1.0526315789473684,0.4138633780553124,0.5173292225691405
762,P16,18,Plum Borough,15,Pittsburgh East (remainder),0.8421052631578947,1.0526315789473684,0.4138633780553124,0.5173292225691405
764,P16,18,Plum Borough,17,Verona Oakmont Penn Hills,4.71578947368421,5.3052631578947365,2.3176349171097494,2.607339281748468
765,P16,18,Plum Borough,18,Plum Borough,1.6842105263157894,2.3157894736842106,0.8277267561106249,1.138124289652109
767,P16,18,Plum Borough,20,Wilkinsburg Wilkins Braddock and vicinity,1.6969696969696968,1.6969696969696968,0.8339974133538871,0.8339974133538871
789,P16,18,Plum Borough,42,Homewood/Lincoln-Lemington,1.0526315789473684,1.263157894736842,0.5173292225691406,0.6207950670829687
757,P12,18,Plum Borough,10,Shadyside,0.5714285714285714,0.8571428571428571,1.908832638017967,2.8632489570269506
759,P12,18,Plum Borough,12,Downtown,48.28571428571429,64.57142857142858,161.29635791251823,215.6980880960303
760,P12,18,Plum Borough,13,East Liberty,1.1428571428571428,1.4285714285714284,3.817665276035934,4.772081595044917
762,P12,18,Plum Borough,15,Pittsburgh East (remainder),1.1428571428571428,1.4285714285714284,3.817665276035934,4.772081595044917
765,P12,18,Plum Borough,18,Plum Borough,2.2857142857142856,3.142857142857143,7.635330552071868,10.498579509098818
766,P12,18,Plum Borough,19,Monroeville Pitcairn Turtle Creek,10.495238095238095,10.857142857142856,35.058892784929995,36.26782012234137
767,P12,18,Plum Borough,20,Wilkinsburg Wilkins Braddock and vicinity,2.303030303030303,2.303030303030303,7.693173965345141,7.693173965345141
789,P12,18,Plum Borough,42,Homewood/Lincoln-Lemington,1.4285714285714284,1.714285714285714,4.772081595044917,5.7264979140539
