,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
dist_origin,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
McKeesport White Oak,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,8.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,11.0,13.0,139.0,34.0,4.0,63.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,0.0,1.0,3.0,0.0
Lincoln Liberty Port Vue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,2.0,6.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Elizabeth Forward South Versailles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,3.0,2.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Munhall Whitaker Duquesne,0.0,1.0,0.0,0.0,0.0,5.0,11.0,9.0,3.0,2.0,60.0,1.0,3.0,0.0,5.0,9.0,2.0,0.0,4.0,44.0,9.0,66.0,14.0,1.0,148.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,1.0,6.0,9.0,2.0
Baldwin Brentwood Whitehall West Mifflin,4.0,8.0,5.0,3.0,3.0,17.0,14.0,33.0,24.0,5.0,36.0,38.0,6.0,3.0,16.0,17.0,1.0,0.0,2.0,21.0,5.0,83.0,36.0,22.0,99.0,336.0,146.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,9.0,10.0,1.0,4.0,187.0,75.0
Allegheny County Southeast (remainder),0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,25.0,30.0,22.0,16.0,25.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,1.0,0.0,0.0,7.0,8.0
Allegheny County West,96.0,93.0,136.0,285.0,59.0,16.0,48.0,111.0,61.0,18.0,13.0,163.0,16.0,16.0,104.0,2.0,7.0,0.0,4.0,35.0,2.0,3.0,1.0,0.0,9.0,51.0,2.0,1287.0,0.0,0.0,180.0,218.0,3.0,0.0,0.0,0.0,0.0,76.0,2.0,41.0,6.0,13.0,704.0,766.0
Armstrong County East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armstrong County West,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beaver County South,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,259.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beaver County North,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,168.0,958.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butler County,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fayette County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greene County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawrence County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington County,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,10.0,16.0,19.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1772.0,194.0,1.0,0.0,0.0,15.0,57.0
Westmoreland County,0.0,1.0,0.0,0.0,93.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,8.0,9.0,11.0,17.0,2.0,2.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,2543.0,1.0,0.0,3.0,0.0,0.0
Midtown/Uptown,46.0,77.0,92.0,68.0,154.0,64.0,272.0,377.0,192.0,158.0,31.0,262.0,66.0,25.0,295.0,10.0,46.0,5.0,13.0,188.0,13.0,10.0,3.0,1.0,66.0,120.0,8.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,70.0,97.0,490.0,212.0
Highland Park,1.0,4.0,2.0,1.0,38.0,2.0,32.0,85.0,6.0,32.0,3.0,52.0,49.0,8.0,105.0,0.0,20.0,1.0,2.0,54.0,1.0,1.0,0.0,0.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,35.0,61.0,10.0,6.0
Homewood/Lincoln-Lemington,5.0,12.0,11.0,5.0,160.0,13.0,173.0,186.0,18.0,165.0,15.0,86.0,94.0,11.0,230.0,1.0,174.0,5.0,18.0,467.0,15.0,8.0,1.0,0.0,26.0,13.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,103.0,256.0,34.0,17.0
Pittsburgh Southwest (remainder),54.0,88.0,76.0,56.0,56.0,29.0,54.0,118.0,175.0,27.0,30.0,324.0,25.0,17.0,104.0,6.0,16.0,1.0,6.0,70.0,5.0,10.0,3.0,1.0,33.0,224.0,11.0,240.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,56.0,10.0,24.0,948.0,394.0
Allegheny County Southcentral,46.0,74.0,70.0,41.0,38.0,19.0,41.0,101.0,72.0,20.0,22.0,198.0,20.0,13.0,88.0,4.0,6.0,0.0,3.0,45.0,2.0,11.0,4.0,3.0,28.0,199.0,26.0,277.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,176.0,5.0,43.0,8.0,15.0,784.0,1732.0
