,55,59,69,P68,P69,P76
d1-21,0,0,0,0,0,0
d2-21,0,0,0,0,0,0
d3-21,0,0,0,0,0,0
d4-21,0,0,0,0,0,0
d5-21,0,0,0,0,0,0
d6-21,0,0,0,0,0,0
d7-21,0,0,49,0,0,0
d8-21,0,0,49,0,0,0
d9-21,0,0,0,0,0,0
d10-21,0,0,0,49,12,34
d11-21,0,38,0,0,0,0
d12-21,0,0,49,49,12,34
d13-21,0,0,0,49,12,34
d14-21,0,0,0,0,0,0
d15-21,0,0,0,49,12,34
d16-21,0,0,0,0,0,0
d17-21,0,0,0,0,0,0
d18-21,0,0,0,0,0,0
d19-21,0,38,49,49,12,0
d20-21,0,38,49,49,12,34
d21-21,36,38,49,49,12,34
d22-21,36,38,0,0,0,34
d23-21,36,38,0,0,0,0
d24-21,0,0,0,0,0,0
d25-21,0,38,0,0,0,0
d26-21,36,38,0,0,0,0
d27-21,36,0,0,0,0,0
d28-21,0,0,0,0,0,0
d29-21,0,0,0,0,0,0
d30-21,0,0,0,0,0,0
d31-21,0,0,0,0,0,0
d32-21,0,0,0,0,0,0
d33-21,0,0,0,0,0,0
d34-21,0,0,0,0,0,0
d35-21,0,0,0,0,0,0
d36-21,0,0,0,0,0,0
d37-21,0,0,0,0,0,0
d38-21,0,0,0,0,0,0
d39-21,0,0,49,0,12,0
d40-21,0,0,49,0,0,0
d41-21,0,0,0,0,0,0
d42-21,0,0,49,49,12,34
d43-21,0,0,0,0,0,0
d44-21,0,0,0,0,0,0
