,index,dist_origin,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
18,19,Monroeville Pitcairn Turtle Creek,3,4.0,0.0,1.0,7.0,1.0,9.0,187.0,6.0,12.0,7.0,529.0,12.0,9.0,15.0,0.0,37.0,3.0,138.0,73.0,21.0,3.0,4.0,2.0,0.0,4.0,8.0,13.0,2.0,18.0,6.0,3.0
19,20,Wilkinsburg Wilkins Braddock and vicinity,33,51.0,9.0,12.0,94.0,31.0,232.0,2578.0,78.0,284.0,104.0,4059.0,283.0,118.0,334.0,1.0,165.0,5.0,256.0,710.0,55.0,11.0,44.0,21.0,3.0,35.0,9.0,188.0,54.0,467.0,70.0,45.0
20,21,Wilmerding Wall North Versailles,3,4.0,0.0,1.0,4.0,2.0,11.0,164.0,5.0,8.0,11.0,423.0,9.0,8.0,14.0,0.0,20.0,1.0,97.0,88.0,45.0,13.0,9.0,5.0,0.0,2.0,11.0,13.0,1.0,15.0,5.0,2.0
